Date,Open,High,Low,Close,Volume
2010-06-29,19.0,25.0,17.540000915527344,23.88999938964844,18766300
2010-06-30,25.790000915527344,30.420000076293945,23.299999237060547,23.82999992370605,17187100
2010-07-01,25.0,25.920000076293945,20.270000457763672,21.959999084472656,8218800
2010-07-02,23.0,23.100000381469727,18.709999084472656,19.200000762939453,5139800
2010-07-06,20.0,20.0,15.829999923706056,16.110000610351562,6866900
2010-07-07,16.399999618530273,16.62999916,14.979999542236328,15.800000190734863,6921700
2010-07-08,16.139999389648438,17.520000457763672,15.56999969482422,17.459999084472656,7711400
2010-07-09,17.579999923706055,17.899999618530273,16.549999237060547,17.399999618530273,4050600
2010-07-12,17.950000762939453,18.06999969482422,17.0,17.049999237060547,2202500
2010-07-13,17.389999389648438,18.63999938964844,16.899999618530273,18.13999938964844,2680100
2010-07-14,17.940000534057617,20.149999618530277,17.760000228881836,19.84000015258789,4195200
2010-07-15,19.940000534057617,21.5,19.0,19.88999938964844,3739800
2010-07-16,20.700000762939453,21.299999237060547,20.049999237060547,20.63999938964844,2621300
2010-07-19,21.37000084,22.25,20.920000076293945,21.90999984741211,2486500
2010-07-20,21.850000381469727,21.850000381469727,20.049999237060547,20.299999237060547,1825300
2010-07-21,20.65999984741211,20.899999618530277,19.5,20.21999931335449,1252500
2010-07-22,20.5,21.25,20.37000084,21.0,957800
2010-07-23,21.190000534057617,21.559999465942383,21.059999465942383,21.290000915527344,653600
2010-07-26,21.5,21.5,20.299999237060547,20.950000762939453,922200
2010-07-27,20.90999984741211,21.18000030517578,20.26000022888184,20.549999237060547,619700
2010-07-28,20.549999237060547,20.899999618530277,20.51000022888184,20.71999931335449,467200
2010-07-29,20.770000457763672,20.87999916,20.0,20.350000381469727,616000
2010-07-30,20.200000762939453,20.440000534057617,19.549999237060547,19.940000534057617,426900
2010-08-02,20.5,20.96999931335449,20.32999992370605,20.920000076293945,718100
2010-08-03,21.0,21.950000762939453,20.81999969482422,21.950000762939453,1230500
